Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,VOLUME ,No of trades 
31-Jul-23,"1,348.75","1,357.50","1,333.25","1,340.50","1,354.80","1,355.70","79,02,180","1,73,177"
28-Jul-23,"1,353.85","1,363.85","1,336.00","1,353.15","1,340.60","1,340.50","61,22,735","2,07,337"
27-Jul-23,"1,358.60","1,363.80","1,347.05","1,348.85","1,354.50","1,353.15","91,91,861","2,91,560"
26-Jul-23,"1,343.00","1,350.00","1,339.40","1,334.60","1,347.45","1,348.85","55,28,885","2,91,888"
25-Jul-23,"1,337.00","1,342.85","1,324.25","1,336.60","1,335.65","1,334.60","68,01,982","3,63,645"
24-Jul-23,"1,341.00","1,349.90","1,334.25","1,331.60","1,336.00","1,336.60","88,59,789","4,77,371"
21-Jul-23,"1,320.20","1,350.00","1,305.00","1,449.50","1,337.45","1,331.60","4,55,48,305","13,08,356"
20-Jul-23,"1,471.00","1,471.00","1,440.70","1,474.95","1,442.75","1,449.50","83,47,221","2,65,215"
19-Jul-23,"1,486.00","1,498.80","1,460.70","1,475.20","1,476.00","1,474.95","1,36,87,062","3,39,400"
18-Jul-23,"1,434.00","1,477.95","1,429.00","1,422.95","1,476.00","1,475.20","1,67,43,977","3,34,573"
17-Jul-23,"1,425.95","1,458.95","1,414.30","1,425.95","1,424.55","1,422.95","1,15,69,884","3,87,899"
14-Jul-23,"1,380.65","1,430.00","1,380.65","1,365.10","1,426.00","1,425.95","1,28,33,381","3,68,638"
13-Jul-23,"1,334.90","1,376.80","1,330.85","1,333.30","1,365.10","1,365.10","99,77,644","3,02,367"
12-Jul-23,"1,351.00","1,351.90","1,327.00","1,348.60","1,333.00","1,333.30","81,02,770","2,39,051"
11-Jul-23,"1,333.45","1,350.90","1,327.00","1,329.15","1,347.00","1,348.60","61,26,128","2,09,092"
10-Jul-23,"1,336.55","1,341.90","1,319.30","1,330.20","1,328.50","1,329.15","39,40,315","1,70,676"
07-Jul-23,"1,334.00","1,345.80","1,325.35","1,343.90","1,329.00","1,330.20","62,95,647","1,71,241"
06-Jul-23,"1,342.55","1,347.45","1,337.15","1,347.30","1,342.95","1,343.90","59,63,897","1,56,641"
05-Jul-23,"1,357.85","1,357.95","1,341.00","1,345.15","1,346.00","1,347.30","54,14,936","1,55,589"
04-Jul-23,"1,344.30","1,346.00","1,331.40","1,333.70","1,344.65","1,345.15","57,97,775","2,02,818"
03-Jul-23,"1,330.00","1,346.00","1,328.45","1,335.50","1,333.00","1,333.70","77,32,412","2,61,409"
30-Jun-23,"1,308.20","1,338.90","1,304.45","1,293.35","1,337.85","1,335.50","1,28,21,692","3,45,935"
28-Jun-23,"1,290.00","1,296.70","1,281.40","1,279.15","1,296.00","1,293.35","56,62,358","1,70,226"
27-Jun-23,"1,280.00","1,282.00","1,274.20","1,270.35","1,278.95","1,279.15","32,40,024","1,35,123"
26-Jun-23,"1,270.25","1,274.00","1,262.25","1,265.00","1,270.70","1,270.35","34,03,244","1,49,079"
23-Jun-23,"1,276.45","1,279.35","1,263.35","1,281.55","1,265.70","1,265.00","72,39,467","2,52,153"
22-Jun-23,"1,289.40","1,289.40","1,273.50","1,299.35","1,283.00","1,281.55","66,76,607","2,19,932"
21-Jun-23,"1,299.95","1,303.80","1,295.00","1,303.40","1,298.50","1,299.35","40,41,529","1,33,363"
20-Jun-23,"1,294.00","1,305.00","1,291.10","1,294.00","1,304.50","1,303.40","40,09,180","1,29,677"
19-Jun-23,"1,294.00","1,299.50","1,287.05","1,291.65","1,292.50","1,294.00","44,51,787","1,23,872"
16-Jun-23,"1,287.00","1,301.50","1,281.05","1,286.80","1,290.00","1,291.65","85,36,287","1,85,318"
15-Jun-23,"1,293.95","1,293.95","1,282.65","1,300.40","1,287.00","1,286.80","61,61,155","1,90,175"
14-Jun-23,"1,306.35","1,306.70","1,293.20","1,304.85","1,302.00","1,300.40","34,57,981","1,54,625"
13-Jun-23,"1,299.90","1,306.50","1,297.05","1,291.95","1,304.90","1,304.85","48,46,587","2,38,816"
12-Jun-23,"1,273.50","1,295.70","1,273.00","1,265.95","1,292.65","1,291.95","47,85,588","2,05,416"
09-Jun-23,"1,282.50","1,282.50","1,264.00","1,282.80","1,266.60","1,265.95","53,39,073","2,30,254"
08-Jun-23,"1,286.20","1,292.00","1,281.10","1,288.95","1,283.30","1,282.80","50,34,942","1,94,917"
07-Jun-23,"1,290.50","1,294.00","1,282.50","1,279.00","1,288.80","1,288.95","53,97,578","2,16,607"
06-Jun-23,"1,288.60","1,288.60","1,273.00","1,304.50","1,281.00","1,279.00","1,00,08,100","4,29,482"
05-Jun-23,"1,304.00","1,309.45","1,297.30","1,299.00","1,306.00","1,304.50","50,02,553","1,46,088"
02-Jun-23,"1,309.00","1,312.90","1,296.05","1,319.50","1,299.70","1,299.00","1,09,09,311","3,25,917"
01-Jun-23,"1,322.55","1,329.50","1,318.10","1,318.30","1,320.55","1,319.50","42,77,841","1,89,819"
31-May-23,"1,319.85","1,331.10","1,314.15","1,323.85","1,317.80","1,318.30","1,78,00,782","1,80,184"
30-May-23,"1,315.00","1,326.40","1,309.15","1,314.40","1,322.40","1,323.85","62,74,719","1,67,284"
29-May-23,"1,332.70","1,332.70","1,309.85","1,317.45","1,315.00","1,314.40","44,19,365","1,60,816"
26-May-23,"1,306.00","1,323.45","1,306.00","1,304.35","1,316.00","1,317.45","55,21,606","1,67,863"
25-May-23,"1,294.50","1,307.00","1,289.25","1,298.65","1,306.00","1,304.35","43,34,121","1,08,453"
24-May-23,"1,296.30","1,305.00","1,291.30","1,300.05","1,299.90","1,298.65","48,24,077","1,25,041"
23-May-23,"1,299.20","1,314.15","1,297.05","1,292.80","1,300.80","1,300.05","74,36,031","2,22,142"
22-May-23,"1,272.95","1,295.60","1,270.25","1,268.90","1,291.80","1,292.80","76,25,947","1,85,776"
19-May-23,"1,256.05","1,273.30","1,252.80","1,246.00","1,269.00","1,268.90","1,10,94,136","2,26,582"
18-May-23,"1,258.60","1,259.65","1,242.45","1,246.90","1,249.95","1,246.00","69,48,732","1,96,055"
17-May-23,"1,260.60","1,260.95","1,242.45","1,264.30","1,248.40","1,246.90","1,04,65,667","3,25,651"
16-May-23,"1,265.00","1,273.95","1,262.75","1,258.35","1,263.15","1,264.30","52,36,469","2,26,514"
15-May-23,"1,249.90","1,268.90","1,245.65","1,245.20","1,258.40","1,258.35","55,34,710","2,92,801"
12-May-23,"1,253.35","1,256.00","1,239.05","1,256.10","1,247.00","1,245.20","82,92,212","3,58,335"
11-May-23,"1,270.25","1,275.90","1,253.05","1,263.25","1,257.95","1,256.10","68,88,461","2,92,712"
10-May-23,"1,276.40","1,276.40","1,259.15","1,270.70","1,264.00","1,263.25","65,15,734","2,51,732"
09-May-23,"1,266.00","1,272.00","1,260.70","1,265.60","1,271.55","1,270.70","49,69,897","1,49,093"
08-May-23,"1,262.45","1,270.30","1,255.20","1,259.10","1,266.50","1,265.60","52,60,842","1,75,093"
05-May-23,"1,279.00","1,279.00","1,254.25","1,273.55","1,260.40","1,259.10","53,73,791","1,75,015"
04-May-23,"1,268.95","1,275.80","1,262.50","1,269.15","1,272.50","1,273.55","45,05,401","1,57,671"
03-May-23,"1,266.00","1,272.50","1,262.10","1,277.45","1,268.00","1,269.15","55,49,783","1,38,772"
02-May-23,"1,254.55","1,279.75","1,254.55","1,252.75","1,278.10","1,277.45","88,86,401","2,78,371"
28-Apr-23,"1,255.70","1,259.00","1,244.95","1,246.25","1,252.95","1,252.75","1,01,18,277","2,40,556"
27-Apr-23,"1,230.00","1,247.80","1,225.40","1,227.55","1,247.00","1,246.25","80,20,704","2,06,555"
26-Apr-23,"1,228.00","1,233.00","1,220.55","1,224.90","1,227.00","1,227.55","56,80,192","1,66,360"
25-Apr-23,"1,225.95","1,235.50","1,215.00","1,226.30","1,227.00","1,224.90","68,08,576","2,10,989"
24-Apr-23,"1,228.00","1,230.00","1,218.00","1,227.35","1,228.85","1,226.30","83,13,774","2,74,139"
21-Apr-23,"1,228.10","1,233.25","1,220.00","1,223.40","1,227.00","1,227.35","86,91,352","2,09,013"
20-Apr-23,"1,230.70","1,237.85","1,221.40","1,232.20","1,223.50","1,223.40","86,21,249","2,96,296"
19-Apr-23,"1,254.35","1,254.35","1,229.40","1,259.35","1,230.95","1,232.20","1,13,07,230","4,03,650"
18-Apr-23,"1,269.95","1,269.95","1,253.10","1,258.30","1,259.00","1,259.35","1,24,30,884","4,54,051"
17-Apr-23,"1,250.30","1,261.15","1,185.30","1,389.20","1,259.00","1,258.30","5,31,71,705","13,24,241"
13-Apr-23,"1,409.75","1,411.05","1,383.00","1,428.30","1,383.40","1,389.20","1,12,67,238","3,45,857"
12-Apr-23,"1,413.05","1,431.50","1,400.00","1,406.15","1,429.00","1,428.30","58,31,169","1,36,836"
11-Apr-23,"1,428.90","1,433.35","1,389.00","1,427.60","1,402.30","1,406.15","69,42,255","1,82,219"
10-Apr-23,"1,423.95","1,434.00","1,415.00","1,421.90","1,427.00","1,427.60","49,93,788","1,29,744"
06-Apr-23,"1,416.00","1,428.40","1,410.35","1,423.55","1,422.35","1,421.90","69,48,465","2,29,597"
05-Apr-23,"1,400.00","1,427.50","1,400.00","1,410.85","1,425.85","1,423.55","75,06,334","1,42,387"
03-Apr-23,"1,435.00","1,435.00","1,405.15","1,427.95","1,410.00","1,410.85","52,42,764","1,81,180"
31-Mar-23,"1,404.00","1,429.95","1,393.90","1,383.55","1,425.70","1,427.95","87,11,975","2,28,023"
29-Mar-23,"1,379.00","1,389.90","1,364.55","1,377.60","1,388.60","1,383.55","88,13,966","2,35,693"
28-Mar-23,"1,392.10","1,398.00","1,375.85","1,388.95","1,378.60","1,377.60","66,33,366","1,54,855"
27-Mar-23,"1,386.25","1,395.75","1,374.10","1,380.65","1,388.20","1,388.95","41,70,193","2,14,904"
24-Mar-23,"1,388.00","1,398.95","1,377.50","1,374.55","1,378.95","1,380.65","75,59,127","2,04,870"
23-Mar-23,"1,383.95","1,383.95","1,370.00","1,389.25","1,376.05","1,374.55","76,07,718","3,39,878"
22-Mar-23,"1,403.00","1,407.25","1,382.15","1,390.70","1,390.70","1,389.25","83,56,487","2,45,942"
21-Mar-23,"1,399.00","1,405.00","1,390.00","1,403.65","1,392.00","1,390.70","85,36,755","3,11,684"
20-Mar-23,"1,419.70","1,419.70","1,384.85","1,420.70","1,406.00","1,403.65","82,21,829","2,58,614"
17-Mar-23,"1,430.00","1,442.90","1,411.40","1,404.10","1,423.65","1,420.70","90,90,018","2,21,212"
16-Mar-23,"1,417.80","1,417.80","1,398.70","1,419.65","1,407.00","1,404.10","73,23,117","3,44,114"
15-Mar-23,"1,438.00","1,442.85","1,416.85","1,420.00","1,421.00","1,419.65","75,56,182","4,69,861"
14-Mar-23,"1,441.00","1,448.35","1,411.00","1,435.10","1,421.15","1,420.00","74,02,784","3,72,984"
13-Mar-23,"1,464.20","1,478.30","1,428.00","1,471.55","1,438.95","1,435.10","87,98,403","3,78,220"
10-Mar-23,"1,460.00","1,474.30","1,457.65","1,480.40","1,473.95","1,471.55","36,99,580","2,19,851"
09-Mar-23,"1,495.00","1,498.35","1,474.60","1,492.70","1,480.60","1,480.40","51,04,656","1,58,728"
08-Mar-23,"1,490.55","1,496.00","1,481.10","1,507.45","1,493.00","1,492.70","41,37,080","1,51,252"
06-Mar-23,"1,494.55","1,520.40","1,493.15","1,479.30","1,506.60","1,507.45","65,61,742","1,95,359"
03-Mar-23,"1,486.75","1,489.80","1,473.00","1,472.15","1,480.90","1,479.30","46,15,015","1,98,050"
02-Mar-23,"1,485.00","1,488.60","1,467.30","1,496.05","1,471.75","1,472.15","46,44,499","2,45,727"
01-Mar-23,"1,492.40","1,500.85","1,481.50","1,487.55","1,496.95","1,496.05","51,25,043","2,15,581"
28-Feb-23,"1,515.60","1,524.00","1,481.30","1,509.30","1,490.00","1,487.55","96,79,811","2,37,105"
27-Feb-23,"1,540.00","1,540.00","1,502.00","1,550.65","1,510.65","1,509.30","49,20,268","2,09,158"
24-Feb-23,"1,560.00","1,569.00","1,545.00","1,550.70","1,548.00","1,550.65","27,90,986","1,09,535"
23-Feb-23,"1,569.85","1,569.85","1,548.15","1,561.80","1,551.00","1,550.70","47,66,854","2,02,345"
22-Feb-23,"1,563.00","1,575.00","1,555.30","1,579.50","1,561.80","1,561.80","36,56,244","1,45,415"
21-Feb-23,"1,598.70","1,601.65","1,576.00","1,592.45","1,581.00","1,579.50","27,23,288","99,334"
20-Feb-23,"1,584.95","1,603.00","1,582.50","1,583.80","1,595.95","1,592.45","24,17,716","92,760"
17-Feb-23,"1,594.00","1,595.00","1,575.50","1,601.80","1,585.00","1,583.80","28,57,734","1,15,187"
16-Feb-23,"1,600.00","1,614.45","1,597.85","1,597.05","1,601.00","1,601.80","42,90,289","2,02,392"
15-Feb-23,"1,584.00","1,599.00","1,576.00","1,593.25","1,597.00","1,597.05","34,65,747","1,21,895"
14-Feb-23,"1,584.70","1,596.00","1,578.15","1,567.45","1,591.15","1,593.25","50,43,736","1,44,115"
13-Feb-23,"1,597.00","1,597.00","1,566.00","1,608.55","1,567.35","1,567.45","40,01,199","1,35,515"
10-Feb-23,"1,612.95","1,616.30","1,596.45","1,617.00","1,608.55","1,608.55","47,86,762","1,55,297"
09-Feb-23,"1,596.20","1,619.75","1,586.05","1,590.50","1,617.00","1,617.00","69,04,911","1,87,813"
08-Feb-23,"1,565.50","1,603.00","1,565.50","1,562.40","1,590.00","1,590.50","79,83,338","1,93,218"
07-Feb-23,"1,569.00","1,576.05","1,555.10","1,569.85","1,563.10","1,562.40","43,36,238","1,22,034"
06-Feb-23,"1,598.00","1,598.00","1,561.60","1,599.40","1,565.00","1,569.85","45,70,612","1,54,367"
03-Feb-23,"1,597.50","1,604.65","1,573.00","1,583.75","1,595.65","1,599.40","70,40,194","1,91,136"
02-Feb-23,"1,552.00","1,586.95","1,552.00","1,551.10","1,581.00","1,583.75","69,16,834","1,96,421"
01-Feb-23,"1,542.20","1,555.05","1,528.05","1,533.75","1,545.15","1,551.10","61,94,199","1,57,639"
31-Jan-23,"1,548.90","1,548.90","1,513.00","1,538.80","1,534.00","1,533.75","94,48,126","2,13,737"
30-Jan-23,"1,528.80","1,544.00","1,520.00","1,519.15","1,538.00","1,538.80","69,64,719","1,87,399"
27-Jan-23,"1,546.00","1,550.95","1,507.40","1,543.00","1,518.60","1,519.15","62,09,955","2,00,961"
25-Jan-23,"1,547.00","1,556.00","1,538.75","1,551.90","1,542.00","1,543.00","41,58,617","99,299"
24-Jan-23,"1,560.00","1,568.80","1,549.75","1,548.00","1,551.00","1,551.90","52,00,802","1,33,921"
23-Jan-23,"1,535.00","1,553.30","1,528.10","1,525.55","1,548.00","1,548.00","48,55,020","1,42,861"
20-Jan-23,"1,538.00","1,545.00","1,524.00","1,538.90","1,527.10","1,525.55","64,96,429","1,56,478"
19-Jan-23,"1,539.90","1,549.55","1,526.15","1,545.40","1,534.00","1,538.90","61,65,284","1,33,347"
18-Jan-23,"1,544.75","1,551.85","1,539.60","1,539.50","1,545.00","1,545.40","58,43,098","1,48,114"
17-Jan-23,"1,527.00","1,542.20","1,524.00","1,525.50","1,538.80","1,539.50","59,22,644","1,86,504"
16-Jan-23,"1,510.00","1,528.00","1,502.30","1,503.65","1,523.90","1,525.50","60,73,063","1,81,302"
13-Jan-23,"1,483.50","1,519.40","1,468.00","1,480.60","1,504.00","1,503.65","1,16,10,426","2,97,370"
12-Jan-23,"1,481.95","1,485.00","1,455.00","1,471.25","1,482.95","1,480.60","65,91,385","2,18,505"
11-Jan-23,"1,470.00","1,494.00","1,464.00","1,469.75","1,471.05","1,471.25","61,73,092","2,00,568"
10-Jan-23,"1,482.00","1,483.90","1,454.05","1,484.45","1,470.80","1,469.75","71,58,624","1,71,260"
09-Jan-23,"1,448.20","1,489.35","1,448.20","1,448.50","1,485.50","1,484.45","1,14,98,717","2,69,942"
06-Jan-23,"1,470.00","1,475.00","1,446.50","1,475.20","1,449.80","1,448.50","64,43,714","2,54,921"
05-Jan-23,"1,505.90","1,505.90","1,469.25","1,494.80","1,475.60","1,475.20","98,68,404","2,94,920"
04-Jan-23,"1,521.00","1,521.00","1,491.10","1,522.55","1,494.95","1,494.80","70,59,590","2,13,900"
03-Jan-23,"1,519.85","1,532.65","1,515.10","1,524.00","1,521.00","1,522.55","45,51,130","1,18,266"
02-Jan-23,"1,514.00","1,526.50","1,504.05","1,508.20","1,524.40","1,524.00","38,01,140","1,03,834"
